NOME;POTENCIA;PROPRIET;INI_OPER;CEG;CREATED_US;CREATED_DA;LAST_EDITE;LAST_EDI_1;CPU
Ventos de Santa Joana II;30000;100% para Ventos de Santa Joana II Energias Renováveis S.A. (PIE);20151218;EOL.CV.PI.031361-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Baixa do Feijão I;30000;100% para Central Eólica Baixa do Feijão I S.A (PIE);20160521;EOL.CV.RN.030932-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Teiú 3;23500;100% para EÓLICA PINDAÍ IV GERAÇÃO DE ENERGIA LTDA (PIE);20211204;EOL.CV.BA.037093-2.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Da Prata;21840;100% para Centrais Eólicas da Prata S.A (PIE);20141011;EOL.CV.BA.030490-5.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ventos de São Clemente 3;31365;100% para Ventos de São Clemente III Energias Renováveis S.A (PIE);20160525;EOL.CV.PE.031820-5.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Anemus Wind 3;54600;100% para Anemus Wind 3 Participações S.A. (PIE);20240521;EOL.CV.RN.051067-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ventos de São Roque 26;45600;100% para ENEL GREEN POWER VENTOS DE SAO ROQUE 26 S.A. (PIE);20240228;EOL.CV.PI.038120-9.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Lagoa 3;34650;100% para LAGOA 3 ENERGIA RENOVÁVEL S.A (PIE);20211218;EOL.CV.PB.038029-6.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Cajuína A5 (Antiga Ventos de Santa Tereza 10);51300;100% para VENTOS DE SANTA TEREZA 10 ENERGIAS RENOVAVEIS S.A. (PIE);20230713;EOL.CV.RN.047244-1.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Estrela;29700;100% para CENTRAL EOLICA ESTRELA S.A. (PIE);20170318;EOL.CV.CE.032010-2.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Pau Santo;18900;100% para Centrais Eólicas Unha D’anta S.A. (PIE);20220322;EOL.CV.BA.032363-2.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
